Feature,RF_Importance,RF_Rank,GB_Importance,GB_Rank,Perm_Importance,Perm_Rank,Abs_Correlation,Corr_Rank,Average_Rank,Final_Rank,RF_Score_Norm,GB_Score_Norm,Perm_Score_Norm,Corr_Score_Norm,Composite_Score
Gender,0.011525748488289215,22,0.005446130733597392,25,-0.00316384180790964,33,0.2039826105341385,9,22.25,13,0.05264429697769538,0.011774299650510751,0.001282051282051097,0.3566490350229078,0.10558742073329125
Curricular units 1st sem (evaluations),0.025053411402987225,9,0.013913722561485101,13,0.0001129943502824804,16,0.09012458075229822,17,13.75,14,0.1150363961733283,0.03029575443658106,0.03846153846153863,0.15749524773152637,0.08532223420074359
Course,0.028540621005025548,8,0.02689980811253782,7,0.005875706214689247,5,8.311656222469847e-05,34,13.5,15,0.13112005591398762,0.058700665923896264,0.1038461538461539,0.0,0.07341671892100946
Mother's occupation,0.018251102252807645,14,0.02525736745407782,8,-0.001016949152542379,27,0.06910194434921867,22,17.75,16,0.08366288029452579,0.05510809899190481,0.025641025641025796,0.12072368522912727,0.07128392253914592
Father's occupation,0.01860311671737973,13,0.013615995848687005,15,-0.0009039548022599098,26,0.07975251729978808,20,18.5,17,0.08528643652374084,0.029644526559543576,0.02692307692307689,0.13935304271926843,0.07030177068140743
Mother's qualification,0.01294744367349401,20,0.013099575399477564,16,0.0014689265536722896,10,0.05949913638202199,23,17.25,18,0.05920141978453843,0.028514942352480917,0.05384615384615378,0.10392701679069191,0.06137238319346626
Displaced,0.004930801304611987,26,0.003687902173143555,29,-0.001242937853107362,31,0.10723239484077429,14,25.0,19,0.02222717308359847,0.007928465858809582,0.023076923076923102,0.18741923266719646,0.060162948671631904
GDP,0.014602822301948256,17,0.012115828528977914,18,0.0011299435028248484,11,0.04631866766499346,25,17.75,20,0.06683633412592331,0.0263631589938536,0.050000000000000114,0.08087251401823597,0.05601800178450325
Previous qualification,0.0035034253557252237,27,0.003679818415923411,30,-0.0001129943502825137,23,0.09159017554715672,16,24.0,21,0.015643849537323392,0.007910783978660215,0.03589743589743581,0.16005878018145428,0.05487771239871843
Marital status,0.0017017390761947867,28,0.002572589979985793,31,-0.0011299435028248928,30,0.09371217171372459,15,26.0,22,0.007334137077698336,0.0054889051457045115,0.024358974358974196,0.16377045140920626,0.05023811699789583
Application order,0.0067225414416247214,23,0.009943623114759421,20,-0.0010169491525424124,28,0.07048539840031035,21,23.0,23,0.03049101208270847,0.02161181939420486,0.025641025641025418,0.12314354190806706,0.05022184975650145
Curricular units 2nd sem (without evaluations),0.0016476130342816602,29,0.005082997968956892,27,0.0,17,0.07990145297496531,19,23.0,24,0.007084497698198306,0.010980006867115274,0.03717948717948741,0.13961355226638758,0.04871438600279714
Daytime/evening attendance,0.0015619269650492872,31,0.0006550829461839417,33,-1.1102230246251566e-17,21,0.08049877148123145,18,25.75,25,0.006689297598599325,0.0012946760720302995,0.03717948717948728,0.14065834676151512,0.04645545190290801
Father's qualification,0.013336280109415547,18,0.014124746507682905,12,0.0009039548022598543,13,0.01626691808805863,29,18.0,26,0.06099480579909781,0.03075733437072578,0.047435897435897295,0.028307756359542476,0.041873948491315836
Inflation rate,0.011745248981718498,21,0.010687091682708814,19,-0.0011299435028248816,29,0.02782602165278702,28,24.25,27,0.053656674107868424,0.02323803375904797,0.024358974358974324,0.04852626230962637,0.03744498613387927
Curricular units 2nd sem (credited),0.005124115959810222,25,0.007861449303606022,23,0.001129943502824826,12,0.03303819560062405,26,21.5,28,0.023118776254016996,0.017057409015919345,0.049999999999999864,0.057643091256360655,0.03695481913157422
Curricular units 1st sem (without evaluations),0.0016465969304513813,30,0.004206527574870915,28,-0.0001129943502824915,22,0.054230468111942716,24,26.0,29,0.007079811238210975,0.009062873034337908,0.03589743589743606,0.09471137128919588,0.036687872864795204
Unemployment rate,0.013017988749951973,19,0.008137812990840536,21,0.000338983050847419,15,0.012979588012592797,30,21.25,30,0.05952678680734816,0.017661908812516485,0.04102564102564082,0.022557751411623535,0.035193022014282246
Curricular units 1st sem (credited),0.005977453808469677,24,0.005374345452186214,26,0.00033898305084744117,14,0.029308442149726086,27,22.75,31,0.027054529239338723,0.011617281235950004,0.04102564102564107,0.05111922529071314,0.032704169197910735
International,0.00011157404830875924,34,6.318621593732733e-05,34,0.0,20,0.010359654908854193,31,29.75,32,0.0,0.0,0.03717948717948741,0.01797511810012717,0.013788651319903644
