Model,Method,Num_Features,Test_Accuracy,CV_Accuracy,Precision,Recall,F1_Score
XGBoost,Mutual Info,30,0.768361581920904,0.7742310550667658,0.7614571794497516,0.768361581920904,0.76314259305867
Random Forest,Chi-Square,5,0.6892655367231638,0.7066989507667475,0.6706392089264995,0.6892655367231638,0.6783729370882868
AdaBoost,Chi-Square,5,0.7288135593220338,0.7177186968091483,0.7141144897558458,0.7288135593220338,0.7180296581619068
XGBoost,Chi-Square,5,0.6971751412429379,0.7103740640407867,0.6737543101583412,0.6971751412429379,0.6824531219740837
Random Forest,Chi-Square,10,0.7333333333333333,0.7341072727127435,0.7220723497933954,0.7333333333333333,0.726688560558101
AdaBoost,Chi-Square,10,0.727683615819209,0.7213962074173519,0.7087246033822943,0.727683615819209,0.7159293927422379
XGBoost,Chi-Square,10,0.7265536723163842,0.7270415298188415,0.7075290379539624,0.7265536723163842,0.7145740120325311
Random Forest,Chi-Square,15,0.7401129943502824,0.7352396135497327,0.7266989854263739,0.7401129943502824,0.7313374499218942
AdaBoost,Chi-Square,15,0.7457627118644068,0.7318441892615412,0.7255576111553015,0.7457627118644068,0.7313689586935163
XGBoost,Chi-Square,15,0.727683615819209,0.7363695570525575,0.7102849425296717,0.727683615819209,0.716731735699135
Random Forest,Chi-Square,20,0.7627118644067796,0.7660385651155914,0.7575810277533339,0.7627118644067796,0.757730063434506
AdaBoost,Chi-Square,20,0.752542372881356,0.752760130734623,0.7437401784080873,0.752542372881356,0.7464402187658034
XGBoost,Chi-Square,20,0.7638418079096045,0.7547359336417905,0.7581811153812077,0.7638418079096045,0.7593048756177736
Random Forest,Chi-Square,25,0.7615819209039548,0.7663206514356037,0.757094333406208,0.7615819209039548,0.7569459876986601
AdaBoost,Chi-Square,25,0.7570621468926554,0.7555845899359912,0.7516395090481117,0.7570621468926554,0.7531106754934475
XGBoost,Chi-Square,25,0.7672316384180791,0.7575611919545465,0.7558987555813592,0.7672316384180791,0.7591805281970092
Random Forest,Chi-Square,30,0.7762711864406779,0.7736660833153535,0.7743765980004974,0.7762711864406779,0.7724742483633888
AdaBoost,Chi-Square,30,0.7502824858757062,0.7586923341244536,0.7467507192601993,0.7502824858757062,0.7469020900379802
XGBoost,Chi-Square,30,0.7604519774011299,0.771408593643868,0.7506219582308852,0.7604519774011299,0.7534903757149434
Random Forest,RFE,5,0.7073446327683616,0.7061287847913121,0.6924028285387718,0.7073446327683616,0.6981599200349902
AdaBoost,RFE,5,0.7197740112994351,0.723370811657437,0.6988200827982284,0.7197740112994351,0.7052921938995765
XGBoost,RFE,5,0.7333333333333333,0.7115032084322234,0.7164659751129399,0.7333333333333333,0.7220772079747977
Random Forest,RFE,10,0.7299435028248588,0.7369345288039699,0.7200626179402138,0.7299435028248588,0.721869746486972
AdaBoost,RFE,10,0.7344632768361582,0.7253478132316864,0.7192748724239187,0.7344632768361582,0.7230845094640298
XGBoost,RFE,10,0.735593220338983,0.7341072727127435,0.721244965886559,0.735593220338983,0.725673752985633
Random Forest,RFE,15,0.768361581920904,0.76208136552154,0.7618509594502392,0.768361581920904,0.7621083671927613
AdaBoost,RFE,15,0.7581920903954802,0.75671493299451,0.756865340904739,0.7581920903954802,0.7554297446974133
XGBoost,RFE,15,0.7593220338983051,0.7654699973629324,0.7539451504272078,0.7593220338983051,0.754329721852998
Random Forest,RFE,20,0.7785310734463277,0.7711241099896915,0.7729711977726315,0.7785310734463277,0.7715046167104701
AdaBoost,RFE,20,0.768361581920904,0.7575627901773228,0.7633459744184831,0.768361581920904,0.7643147985970512
XGBoost,RFE,20,0.7615819209039548,0.7666019386442275,0.7542326701691496,0.7615819209039548,0.7554543499821951
Random Forest,RFE,25,0.7717514124293785,0.7779045701180287,0.7666675365089071,0.7717514124293785,0.766434286248108
AdaBoost,RFE,25,0.7559322033898305,0.7634913975659068,0.7550255439355692,0.7559322033898305,0.7544242904813824
XGBoost,RFE,25,0.7740112994350282,0.7728186256882347,0.7654340125909289,0.7740112994350282,0.7668790894290216
Random Forest,RFE,30,0.7706214689265537,0.7731027097867171,0.7647090992648635,0.7706214689265537,0.7640984524197522
AdaBoost,RFE,30,0.7581920903954802,0.7620821646329282,0.7545246111249739,0.7581920903954802,0.755691028854506
XGBoost,RFE,30,0.7694915254237288,0.7682972534541591,0.7616188688820134,0.7694915254237288,0.7636146026665311
Random Forest,RF Importance,5,0.6836158192090396,0.707265520740936,0.6668328729144982,0.6836158192090396,0.6740477444807529
AdaBoost,RF Importance,5,0.7288135593220338,0.7177186968091483,0.7141144897558458,0.7288135593220338,0.7180296581619068
XGBoost,RF Importance,5,0.7016949152542373,0.7083958637994551,0.679811012136477,0.7016949152542373,0.6877939682071909
Random Forest,RF Importance,10,0.7548022598870057,0.7544518495433079,0.7499953657831108,0.7548022598870057,0.75013543841819
AdaBoost,RF Importance,10,0.7446327683615819,0.7439962761409313,0.7338954033886873,0.7446327683615819,0.7364152994491522
XGBoost,RF Importance,10,0.7502824858757062,0.7553009053932028,0.7426960823593954,0.7502824858757062,0.7450827113820446
Random Forest,RF Importance,15,0.7604519774011299,0.7651907079327788,0.7552130955566154,0.7604519774011299,0.7549825994279906
AdaBoost,RF Importance,15,0.7491525423728813,0.7431468207353422,0.7407503757323789,0.7491525423728813,0.743168788781384
XGBoost,RF Importance,15,0.7581920903954802,0.7586919345687596,0.7507924965709344,0.7581920903954802,0.7527620592982759
Random Forest,RF Importance,20,0.7706214689265537,0.770839626335515,0.7630671297419178,0.7706214689265537,0.7632883845801179
AdaBoost,RF Importance,20,0.768361581920904,0.7575627901773228,0.7633459744184831,0.768361581920904,0.7643147985970512
XGBoost,RF Importance,20,0.7649717514124293,0.7660377660042034,0.7596150675328813,0.7649717514124293,0.7598706579612372
Random Forest,RF Importance,25,0.7615819209039548,0.7773399979223103,0.7511604083152223,0.7615819209039548,0.7528945032862748
AdaBoost,RF Importance,25,0.7559322033898305,0.7634913975659068,0.7550255439355692,0.7559322033898305,0.7544242904813824
XGBoost,RF Importance,25,0.7706214689265537,0.7731011115639409,0.7637066523068421,0.7706214689265537,0.764776230518618
Random Forest,RF Importance,30,0.7740112994350282,0.774232253733848,0.7675172300634696,0.7740112994350282,0.7677497119662615
AdaBoost,RF Importance,30,0.7581920903954802,0.7620821646329282,0.7545246111249739,0.7581920903954802,0.755691028854506
XGBoost,RF Importance,30,0.7796610169491526,0.7708400258912089,0.7715089160622249,0.7796610169491526,0.7734443704572495
Random Forest,Info Gain,5,0.6915254237288135,0.6985020657029384,0.6745502902037559,0.6915254237288135,0.6815796078123669
AdaBoost,Info Gain,5,0.7389830508474576,0.7086727558954442,0.7178183242053019,0.7389830508474576,0.7218095498928235
XGBoost,Info Gain,5,0.7096045197740113,0.6987853506900328,0.6827641661026986,0.7096045197740113,0.6920620815918896
Random Forest,Info Gain,10,0.751412429378531,0.7510596217006689,0.7506332241774323,0.751412429378531,0.7498888986972071
AdaBoost,Info Gain,10,0.7638418079096045,0.7609470269060804,0.7622449846410072,0.7638418079096045,0.7608780238997032
XGBoost,Info Gain,10,0.751412429378531,0.747674585860523,0.7378958208309875,0.751412429378531,0.7411485659788962
Random Forest,Info Gain,15,0.7615819209039548,0.7714061963097036,0.7546301350991107,0.7615819209039548,0.7551409112410872
AdaBoost,Info Gain,15,0.7649717514124293,0.7649062242786021,0.7610938545953285,0.7649717514124293,0.7623285318257164
