Model,Method,Num_Features,Test_Accuracy,CV_Accuracy,Precision,Recall,F1_Score
Decision Tree,Mutual Info,15,0.6644067796610169,0.6671477317223248,0.7095151905176384,0.6644067796610169,0.680859897122869
Naive Bayes,Mutual Info,15,0.6983050847457627,0.7058466984712999,0.6806114251173235,0.6983050847457627,0.6799685545600487
Decision Tree,Mutual Info,20,0.6542372881355932,0.6614948177626478,0.6978389350734832,0.6542372881355932,0.6692761553932269
Naive Bayes,Mutual Info,20,0.6971751412429379,0.7140387888667801,0.6810506829368964,0.6971751412429379,0.6825628142086473
Decision Tree,Mutual Info,25,0.655367231638418,0.656684966317455,0.6988417555003512,0.655367231638418,0.6706675582812519
Naive Bayes,Mutual Info,25,0.696045197740113,0.7095210126339511,0.6847686349419109,0.696045197740113,0.6861325692645466
Decision Tree,Mutual Info,30,0.6474576271186441,0.6628964591374392,0.6953357427774729,0.6474576271186441,0.6646172148784725
Naive Bayes,Mutual Info,30,0.6813559322033899,0.7007639504870584,0.6632609422981289,0.6813559322033899,0.6673984381261095
Decision Tree,Chi-Square,5,0.6169491525423729,0.64254748719424,0.666004674645461,0.6169491525423729,0.6353997526282141
Naive Bayes,Chi-Square,5,0.6915254237288135,0.6905872669591415,0.6715094845557196,0.6915254237288135,0.6553222393456968
Decision Tree,Chi-Square,10,0.6406779661016949,0.6408509737172265,0.6773423080967467,0.6406779661016949,0.6549252221277414
Naive Bayes,Chi-Square,10,0.696045197740113,0.6908677550563773,0.6837224545699122,0.696045197740113,0.6816265331947938
Decision Tree,Chi-Square,15,0.6361581920903955,0.6419917052237911,0.6959595831595135,0.6361581920903955,0.656202599389557
Naive Bayes,Chi-Square,15,0.6779661016949152,0.6877624082020792,0.6620910395240137,0.6779661016949152,0.6630665042923923
Decision Tree,Chi-Square,20,0.6576271186440678,0.6648802531584878,0.6942402727034008,0.6576271186440678,0.6710467316610668
Naive Bayes,Chi-Square,20,0.6836158192090396,0.6965218676831364,0.6575165120782096,0.6836158192090396,0.6627412303251395
Decision Tree,Chi-Square,25,0.6700564971751413,0.6682736796682089,0.7009547162441218,0.6700564971751413,0.6815118623723039
Naive Bayes,Chi-Square,25,0.6757062146892655,0.6939810930245567,0.6556874354166035,0.6757062146892655,0.6615627402234944
Decision Tree,Chi-Square,30,0.6418079096045197,0.6555494290349132,0.6930393998207173,0.6418079096045197,0.6595982575126489
Naive Bayes,Chi-Square,30,0.6790960451977401,0.6951118356387697,0.6567268900369598,0.6790960451977401,0.6631055090293414
Decision Tree,RFE,5,0.6531073446327683,0.6377500219755632,0.6883049542741464,0.6531073446327683,0.6666205721459959
Naive Bayes,RFE,5,0.6824858757062147,0.6860682920592301,0.6646643773792313,0.6824858757062147,0.6428967012736649
Decision Tree,RFE,10,0.6361581920903955,0.6431204500595338,0.6737323488635865,0.6361581920903955,0.6507136783629046
Naive Bayes,RFE,10,0.6779661016949152,0.6894597207904809,0.6590625164211337,0.6779661016949152,0.646611769367499
Decision Tree,RFE,15,0.6598870056497175,0.6623334851644971,0.712217034529032,0.6598870056497175,0.6774807341411453
Naive Bayes,RFE,15,0.6926553672316385,0.70556581081837,0.6556333528151178,0.6926553672316385,0.6529072016098194
